Language,Gender,ShortName
en-ZA,Male,en-ZA-LukeNeural
en-TZ,Male,en-TZ-ElimuNeural
en-TZ,Female,en-TZ-ImaniNeural
en-GB,Female,en-GB-LibbyNeural
en-GB,Female,en-GB-MaisieNeural
en-GB,Male,en-GB-RyanNeural
en-GB,Female,en-GB-SoniaNeural
en-GB,Male,en-GB-ThomasNeural
en-US,Female,en-US-AriaNeural
en-US,Female,en-US-AnaNeural
en-US,Male,en-US-ChristopherNeural
en-US,Male,en-US-EricNeural
en-US,Male,en-US-GuyNeural
en-US,Female,en-US-JennyNeural
en-US,Female,en-US-MichelleNeural
en-US,Male,en-US-RogerNeural
en-US,Male,en-US-SteffanNeural
et-EE,Female,et-EE-AnuNeural
et-EE,Male,et-EE-KertNeural
fil-PH,Male,fil-PH-AngeloNeural
fil-PH,Female,fil-PH-BlessicaNeural
fi-FI,Male,fi-FI-HarriNeural
fi-FI,Female,fi-FI-NooraNeural
fr-BE,Female,fr-BE-CharlineNeural
fr-BE,Male,fr-BE-GerardNeural
fr-CA,Male,fr-CA-AntoineNeural
fr-CA,Male,fr-CA-JeanNeural
fr-CA,Female,fr-CA-SylvieNeural
fr-FR,Female,fr-FR-DeniseNeural
fr-FR,Female,fr-FR-EloiseNeural
fr-FR,Male,fr-FR-HenriNeural
fr-CH,Female,fr-CH-ArianeNeural
fr-CH,Male,fr-CH-FabriceNeural
gl-ES,Male,gl-ES-RoiNeural
gl-ES,Female,gl-ES-SabelaNeural
ka-GE,Female,ka-GE-EkaNeural
ka-GE,Male,ka-GE-GiorgiNeural
de-AT,Female,de-AT-IngridNeural
de-AT,Male,de-AT-JonasNeural
de-DE,Female,de-DE-AmalaNeural
de-DE,Male,de-DE-ConradNeural
de-DE,Female,de-DE-KatjaNeural
de-DE,Male,de-DE-KillianNeural
de-CH,Male,de-CH-JanNeural
de-CH,Female,de-CH-LeniNeural
el-GR,Female,el-GR-AthinaNeural
el-GR,Male,el-GR-NestorasNeural
gu-IN,Female,gu-IN-DhwaniNeural
gu-IN,Male,gu-IN-NiranjanNeural
he-IL,Male,he-IL-AvriNeural
he-IL,Female,he-IL-HilaNeural
hi-IN,Male,hi-IN-MadhurNeural
hi-IN,Female,hi-IN-SwaraNeural
hu-HU,Female,hu-HU-NoemiNeural
hu-HU,Male,hu-HU-TamasNeural
is-IS,Female,is-IS-GudrunNeural
is-IS,Male,is-IS-GunnarNeural
id-ID,Male,id-ID-ArdiNeural
id-ID,Female,id-ID-GadisNeural
ga-IE,Male,ga-IE-ColmNeural
ga-IE,Female,ga-IE-OrlaNeural
it-IT,Male,it-IT-DiegoNeural
it-IT,Female,it-IT-ElsaNeural
it-IT,Female,it-IT-IsabellaNeural
ja-JP,Male,ja-JP-KeitaNeural
ja-JP,Female,ja-JP-NanamiNeural
jv-ID,Male,jv-ID-DimasNeural
jv-ID,Female,jv-ID-SitiNeural
kn-IN,Male,kn-IN-GaganNeural
kn-IN,Female,kn-IN-SapnaNeural
kk-KZ,Female,kk-KZ-AigulNeural
kk-KZ,Male,kk-KZ-DauletNeural
km-KH,Male,km-KH-PisethNeural
km-KH,Female,km-KH-SreymomNeural
ko-KR,Male,ko-KR-InJoonNeural
ko-KR,Female,ko-KR-SunHiNeural
lo-LA,Male,lo-LA-ChanthavongNeural
lo-LA,Female,lo-LA-KeomanyNeural
lv-LV,Female,lv-LV-EveritaNeural
lv-LV,Male,lv-LV-NilsNeural
lt-LT,Male,lt-LT-LeonasNeural
lt-LT,Female,lt-LT-OnaNeural
mk-MK,Male,mk-MK-AleksandarNeural
mk-MK,Female,mk-MK-MarijaNeural
ms-MY,Male,ms-MY-OsmanNeural
ms-MY,Female,ms-MY-YasminNeural
ml-IN,Male,ml-IN-MidhunNeural
ml-IN,Female,ml-IN-SobhanaNeural
mt-MT,Female,mt-MT-GraceNeural
mt-MT,Male,mt-MT-JosephNeural
mr-IN,Female,mr-IN-AarohiNeural
mr-IN,Male,mr-IN-ManoharNeural
mn-MN,Male,mn-MN-BataaNeural
mn-MN,Female,mn-MN-YesuiNeural
ne-NP,Female,ne-NP-HemkalaNeural
ne-NP,Male,ne-NP-SagarNeural
nb-NO,Male,nb-NO-FinnNeural
nb-NO,Female,nb-NO-PernilleNeural
ps-AF,Male,ps-AF-GulNawazNeural
ps-AF,Female,ps-AF-LatifaNeural
fa-IR,Female,fa-IR-DilaraNeural
fa-IR,Male,fa-IR-FaridNeural
pl-PL,Male,pl-PL-MarekNeural
pl-PL,Female,pl-PL-ZofiaNeural
pt-BR,Male,pt-BR-AntonioNeural
pt-BR,Female,pt-BR-FranciscaNeural
pt-PT,Male,pt-PT-DuarteNeural
pt-PT,Female,pt-PT-RaquelNeural
ro-RO,Female,ro-RO-AlinaNeural
ro-RO,Male,ro-RO-EmilNeural
ru-RU,Male,ru-RU-DmitryNeural
ru-RU,Female,ru-RU-SvetlanaNeural
sr-RS,Male,sr-RS-NicholasNeural
sr-RS,Female,sr-RS-SophieNeural
si-LK,Male,si-LK-SameeraNeural
si-LK,Female,si-LK-ThiliniNeural
sk-SK,Male,sk-SK-LukasNeural
sk-SK,Female,sk-SK-ViktoriaNeural
sl-SI,Female,sl-SI-PetraNeural
sl-SI,Male,sl-SI-RokNeural
so-SO,Male,so-SO-MuuseNeural
so-SO,Female,so-SO-UbaxNeural
es-AR,Female,es-AR-ElenaNeural
es-AR,Male,es-AR-TomasNeural
es-BO,Male,es-BO-MarceloNeural
es-BO,Female,es-BO-SofiaNeural
es-CL,Female,es-CL-CatalinaNeural
es-CL,Male,es-CL-LorenzoNeural
es-CO,Male,es-CO-GonzaloNeural
es-CO,Female,es-CO-SalomeNeural
es-CR,Male,es-CR-JuanNeural
es-CR,Female,es-CR-MariaNeural
es-CU,Female,es-CU-BelkysNeural
es-CU,Male,es-CU-ManuelNeural
es-DO,Male,es-DO-EmilioNeural
es-DO,Female,es-DO-RamonaNeural
es-EC,Female,es-EC-AndreaNeural
es-EC,Male,es-EC-LuisNeural
es-SV,Female,es-SV-LorenaNeural
es-SV,Male,es-SV-RodrigoNeural
es-GQ,Male,es-GQ-JavierNeural
es-GQ,Female,es-GQ-TeresaNeural
es-GT,Male,es-GT-AndresNeural
es-GT,Female,es-GT-MartaNeural
es-HN,Male,es-HN-CarlosNeural
es-HN,Female,es-HN-KarlaNeural
es-MX,Female,es-MX-DaliaNeural
es-MX,Male,es-MX-JorgeNeural
es-MX,Male,es-MX-LorenzoEsCLNeural
es-NI,Male,es-NI-FedericoNeural
es-NI,Female,es-NI-YolandaNeural
es-PA,Female,es-PA-MargaritaNeural
es-PA,Male,es-PA-RobertoNeural
es-PY,Male,es-PY-MarioNeural
es-PY,Female,es-PY-TaniaNeural
es-PE,Male,es-PE-AlexNeural
es-PE,Female,es-PE-CamilaNeural
es-PR,Female,es-PR-KarinaNeural
es-PR,Male,es-PR-VictorNeural
es-ES,Male,es-ES-AlvaroNeural
es-ES,Female,es-ES-ElviraNeural
es-ES,Male,es-ES-ManuelEsCUNeural
es-US,Male,es-US-AlonsoNeural
es-US,Female,es-US-PalomaNeural
es-UY,Male,es-UY-MateoNeural
es-UY,Female,es-UY-ValentinaNeural
es-VE,Female,es-VE-PaolaNeural
es-VE,Male,es-VE-SebastianNeural
su-ID,Male,su-ID-JajangNeural
su-ID,Female,su-ID-TutiNeural
sw-KE,Male,sw-KE-RafikiNeural
sw-KE,Female,sw-KE-ZuriNeural
sw-TZ,Male,sw-TZ-DaudiNeural
sw-TZ,Female,sw-TZ-RehemaNeural
sv-SE,Male,sv-SE-MattiasNeural
sv-SE,Female,sv-SE-SofieNeural
ta-IN,Female,ta-IN-PallaviNeural
ta-IN,Male,ta-IN-ValluvarNeural
ta-MY,Female,ta-MY-KaniNeural
ta-MY,Male,ta-MY-SuryaNeural
ta-SG,Male,ta-SG-AnbuNeural
ta-SG,Female,ta-SG-VenbaNeural
ta-LK,Male,ta-LK-KumarNeural
ta-LK,Female,ta-LK-SaranyaNeural
te-IN,Male,te-IN-MohanNeural
te-IN,Female,te-IN-ShrutiNeural
th-TH,Male,th-TH-NiwatNeural
th-TH,Female,th-TH-PremwadeeNeural
tr-TR,Male,tr-TR-AhmetNeural
tr-TR,Female,tr-TR-EmelNeural
uk-UA,Male,uk-UA-OstapNeural
uk-UA,Female,uk-UA-PolinaNeural
ur-IN,Female,ur-IN-GulNeural
ur-IN,Male,ur-IN-SalmanNeural
ur-PK,Male,ur-PK-AsadNeural
ur-PK,Female,ur-PK-UzmaNeural
uz-UZ,Female,uz-UZ-MadinaNeural
uz-UZ,Male,uz-UZ-SardorNeural
vi-VN,Female,vi-VN-HoaiMyNeural
vi-VN,Male,vi-VN-NamMinhNeural
cy-GB,Male,cy-GB-AledNeural
cy-GB,Female,cy-GB-NiaNeural
zu-ZA,Female,zu-ZA-ThandoNeural
zu-ZA,Male,zu-ZA-ThembaNeural
